Timestamp,ACO,AJM,AJU,BJU,MON,CHO,CUA,CUT,FAC,FAR,GAM,INN,MER,MGH,MPA,NEZ,PED,SAG,SFE,SS1,TAH,TLA,UAX,UIZ,VIF
01-Jul-2020 00:59:59,14,14,18,18,16,16,14,16,17,20,9,9,19,18,14,17,16,19,14,18,17,18,16,19,18
01-Jul-2020 01:59:59,14,14,17,17,16,16,14,14,16,19,9,9,18,17,15,16,16,19,14,17,16,17,16,19,18
01-Jul-2020 02:59:59,14,14,17,17,17,16,14,14,15,19,9,9,18,17,15,16,16,18,14,17,16,17,15,19,17
01-Jul-2020 03:59:59,14,14,17,17,17,16,14,14,15,19,9,9,18,17,14,16,16,18,14,17,17,17,16,19,17
01-Jul-2020 04:59:59,13,13,17,17,16,15,13,14,15,18,9,9,17,17,14,16,15,18,13,16,16,17,15,18,17
01-Jul-2020 05:59:59,12,12,16,16,16,15,13,15,14,18,8,8,17,17,14,15,15,17,13,16,15,16,14,17,17
01-Jul-2020 06:59:59,12,12,16,16,16,15,13,15,13,17,9,9,17,17,14,15,15,16,13,16,15,16,14,18,16
01-Jul-2020 07:59:59,14,14,17,17,17,16,14,17,16,18,10,10,18,17,15,16,16,17,15,17,16,17,15,19,17
01-Jul-2020 08:59:59,16,16,18,18,18,18,15,18,20,20,12,12,19,19,16,18,18,19,16,18,18,18,18,20,18
01-Jul-2020 09:59:59,17,17,21,21,20,20,16,20,22,21,15,15,21,21,17,19,19,21,17,20,20,20,19,22,20
01-Jul-2020 10:59:59,19,19,22,22,22,21,18,22,25,23,16,16,22,23,19,20,21,22,19,21,22,21,21,23,22
01-Jul-2020 11:59:59,20,20,23,23,23,22,19,23,27,24,17,17,23,23,20,22,22,24,20,22,23,22,22,24,23
01-Jul-2020 12:59:59,21,21,24,24,24,23,20,25,28,25,19,19,24,25,20,22,23,25,21,23,24,24,23,25,25
01-Jul-2020 13:59:59,22,22,24,24,25,24,21,26,28,26,20,20,25,25,21,23,24,26,22,25,25,25,24,26,26
01-Jul-2020 14:59:59,22,22,25,25,25,24,22,27,29,27,21,21,26,26,22,24,24,27,22,26,26,25,23,27,27
01-Jul-2020 15:59:59,20,20,26,26,25,24,22,27,29,27,20,20,26,26,22,25,24,27,22,26,26,26,24,27,27
01-Jul-2020 16:59:59,22,22,25,25,23,22,22,23,28,26,20,20,26,26,22,23,24,25,23,25,25,25,24,26,24
01-Jul-2020 17:59:59,20,20,23,23,20,20,20,22,24,23,17,17,23,22,20,21,23,23,20,22,23,23,22,24,24
01-Jul-2020 18:59:59,18,18,22,22,20,20,17,21,22,20,15,15,21,20,19,20,21,22,17,22,22,21,20,23,22
01-Jul-2020 19:59:59,17,17,21,21,20,19,16,20,20,20,13,13,21,20,17,19,19,22,17,20,20,20,20,22,21
01-Jul-2020 20:59:59,16,16,20,20,19,18,16,19,20,21,13,13,21,20,17,19,19,22,17,21,19,20,19,21,21
01-Jul-2020 21:59:59,16,16,20,20,19,18,16,19,19,21,13,13,21,20,17,19,19,21,16,20,19,20,19,21,19
01-Jul-2020 22:59:59,16,16,20,20,19,17,15,18,17,21,13,13,20,18,17,18,19,21,16,19,18,19,18,21,19
01-Jul-2020 23:59:59,15,15,19,19,19,17,14,18,16,20,12,12,19,17,16,18,18,20,16,18,18,18,18,20,18
02-Jul-2020 00:59:59,15,15,19,19,18,16,15,17,16,20,12,12,19,17,16,18,18,19,15,18,17,18,18,20,18
02-Jul-2020 01:59:59,14,14,18,18,17,15,14,16,16,20,12,12,18,17,16,17,17,19,15,18,16,17,16,19,18
02-Jul-2020 02:59:59,13,13,18,18,16,15,14,16,16,19,12,12,18,17,14,16,17,18,15,17,16,17,15,18,17
02-Jul-2020 03:59:59,13,13,17,17,16,14,14,16,16,18,11,11,17,16,14,16,16,17,14,17,15,16,15,18,16
02-Jul-2020 04:59:59,13,13,17,17,15,13,13,16,16,18,11,11,17,16,13,15,16,17,14,17,15,16,15,18,16
02-Jul-2020 05:59:59,12,12,17,17,15,12,13,15,15,17,11,11,17,16,13,15,16,16,14,16,14,16,14,18,15
02-Jul-2020 06:59:59,12,12,16,16,15,12,13,14,16,16,10,10,16,16,12,14,16,16,14,16,13,15,14,17,14
02-Jul-2020 07:59:59,14,14,17,17,16,14,13,15,16,17,10,10,17,16,14,15,16,17,14,17,15,16,15,18,15
02-Jul-2020 08:59:59,15,15,18,18,18,17,14,18,17,19,14,14,18,17,16,17,17,18,14,18,17,17,17,20,17
02-Jul-2020 09:59:59,17,17,19,19,20,19,15,19,20,20,16,16,20,19,17,18,18,20,15,19,19,19,18,21,18
02-Jul-2020 10:59:59,18,18,20,20,21,20,17,20,22,22,17,17,21,20,18,20,20,22,18,20,21,20,20,22,20
02-Jul-2020 11:59:59,19,19,22,22,23,22,18,22,25,23,17,17,22,21,20,21,21,23,19,22,22,21,22,24,22
02-Jul-2020 12:59:59,20,20,23,23,24,23,20,24,26,24,18,18,24,23,21,22,22,24,20,24,25,22,23,25,24
02-Jul-2020 13:59:59,21,21,25,25,25,25,20,25,28,26,21,21,25,24,21,23,23,26,21,25,26,23,24,26,25
02-Jul-2020 14:59:59,22,22,25,25,27,25,21,26,28,27,21,21,26,25,22,25,25,27,22,26,26,25,25,27,27
02-Jul-2020 15:59:59,22,22,26,26,27,25,22,27,29,28,21,21,27,26,23,25,25,28,23,27,25,26,25,28,27
02-Jul-2020 16:59:59,22,22,27,27,26,25,22,26,28,28,21,21,27,26,23,25,25,28,23,27,26,25,25,28,26
02-Jul-2020 17:59:59,21,21,25,25,22,23,22,22,25,25,19,19,25,25,22,23,24,25,22,23,25,22,24,25,25
02-Jul-2020 18:59:59,19,19,22,22,19,21,19,22,20,22,17,17,22,22,19,21,22,22,20,21,21,21,22,24,23
02-Jul-2020 19:59:59,16,16,19,19,20,20,16,21,20,22,15,15,22,21,18,20,18,22,16,20,19,21,20,22,21
02-Jul-2020 20:59:59,15,15,20,20,19,19,16,19,20,21,12,12,21,20,18,19,19,21,15,20,20,19,19,22,19
02-Jul-2020 21:59:59,15,15,19,19,18,19,15,17,18,20,12,12,20,19,17,18,18,20,16,19,19,18,19,21,18
02-Jul-2020 22:59:59,15,15,19,19,17,17,14,17,17,20,11,11,19,18,16,18,18,19,15,18,19,17,18,20,18
02-Jul-2020 23:59:59,14,14,18,18,16,16,14,16,17,19,10,10,19,17,14,17,17,19,15,18,18,17,18,20,17
03-Jul-2020 00:59:59,14,14,18,18,17,16,13,16,17,19,10,10,18,17,13,17,17,18,14,17,17,16,17,19,16
03-Jul-2020 01:59:59,13,13,17,17,16,15,13,15,16,18,10,10,17,16,14,16,16,17,13,16,17,16,17,18,16
03-Jul-2020 02:59:59,13,13,16,16,14,14,12,15,16,17,10,10,17,16,14,15,15,17,13,16,16,15,16,17,15
03-Jul-2020 03:59:59,12,12,16,16,14,14,12,15,15,17,10,10,16,16,13,15,15,17,13,15,15,15,15,17,15
03-Jul-2020 04:59:59,11,11,16,16,13,13,12,13,14,17,9,9,16,15,13,15,14,16,13,15,15,14,15,17,14
03-Jul-2020 05:59:59,11,11,15,15,12,13,12,12,14,16,8,8,15,15,13,14,14,16,12,15,15,14,15,16,14
03-Jul-2020 06:59:59,12,12,15,15,12,12,11,12,14,15,8,8,15,15,12,13,14,15,12,15,15,14,15,17,13
03-Jul-2020 07:59:59,12,12,16,16,13,14,12,15,15,17,9,9,16,15,13,13,15,16,13,16,16,15,15,17,14
03-Jul-2020 08:59:59,15,15,17,17,16,16,13,17,17,18,12,12,17,16,14,15,16,17,14,17,17,16,16,18,16
03-Jul-2020 09:59:59,17,17,18,18,18,17,15,18,20,19,14,14,19,18,15,16,18,19,16,18,18,18,18,19,18
03-Jul-2020 10:59:59,18,18,19,19,19,19,16,20,22,21,16,16,20,20,16,18,19,20,17,20,20,19,19,21,19
03-Jul-2020 11:59:59,19,19,21,21,21,21,17,21,24,22,17,17,22,21,18,20,21,22,18,21,21,21,21,22,21
03-Jul-2020 12:59:59,20,20,22,22,23,22,19,23,25,24,18,18,23,23,19,22,22,24,20,23,23,22,22,24,24
03-Jul-2020 13:59:59,21,21,23,23,25,23,20,25,27,26,20,20,24,24,21,23,23,26,21,24,24,23,23,26,26
03-Jul-2020 14:59:59,22,22,25,25,26,24,21,26,28,27,20,20,26,25,21,24,24,27,21,26,26,25,24,26,26
03-Jul-2020 15:59:59,22,22,25,25,26,24,21,25,28,27,20,20,26,26,22,25,25,27,22,27,26,25,26,27,25
03-Jul-2020 16:59:59,23,23,26,26,26,24,22,25,28,27,20,20,26,26,22,25,25,27,23,27,26,25,25,27,25
03-Jul-2020 17:59:59,21,21,24,24,24,24,21,24,25,24,18,18,24,25,22,24,24,25,22,22,26,23,24,26,24
03-Jul-2020 18:59:59,18,18,20,20,21,22,18,22,21,23,16,16,20,19,20,21,21,23,19,18,23,21,20,22,22
03-Jul-2020 19:59:59,15,15,19,19,21,20,16,20,21,22,14,14,19,18,18,19,17,22,16,20,20,20,18,19,21
03-Jul-2020 20:59:59,15,15,17,17,20,17,14,19,19,19,13,13,15,17,15,18,17,21,15,18,16,19,18,19,19
03-Jul-2020 21:59:59,14,14,17,17,18,17,12,18,17,19,11,11,17,16,15,17,16,20,13,17,16,18,17,18,18
03-Jul-2020 22:59:59,13,13,17,17,17,18,13,18,17,18,10,10,18,16,14,17,16,19,13,17,16,18,17,18,18
03-Jul-2020 23:59:59,13,13,17,17,17,16,13,17,17,18,10,10,17,16,14,17,16,18,14,17,17,17,17,18,17
04-Jul-2020 00:59:59,13,13,17,17,16,15,13,17,17,17,10,10,17,16,13,16,16,18,14,17,16,17,17,18,17
04-Jul-2020 01:59:59,13,13,17,17,15,15,13,16,16,17,11,11,16,16,13,15,16,17,14,17,16,16,17,18,17
04-Jul-2020 02:59:59,12,12,17,17,14,15,12,15,16,17,10,10,16,16,13,15,16,17,13,17,16,16,16,17,16
04-Jul-2020 03:59:59,12,12,16,16,14,15,12,14,15,17,10,10,16,15,13,14,15,17,13,16,15,15,16,17,15
04-Jul-2020 04:59:59,12,12,16,16,13,15,12,14,15,17,9,9,16,15,12,14,15,17,13,15,15,15,15,17,15
04-Jul-2020 05:59:59,12,12,16,16,14,14,12,14,15,17,9,9,16,15,13,14,15,16,13,15,15,15,15,17,14
04-Jul-2020 06:59:59,12,12,16,16,14,14,12,13,14,16,9,9,16,15,13,14,15,16,13,15,15,14,15,17,14
04-Jul-2020 07:59:59,13,13,16,16,15,15,12,15,15,17,10,10,16,15,13,14,15,17,13,16,16,15,16,17,15
04-Jul-2020 08:59:59,15,15,16,16,17,17,13,17,17,18,13,13,17,17,14,15,16,18,14,17,17,17,16,18,16
04-Jul-2020 09:59:59,16,16,18,18,19,18,15,18,20,19,14,14,18,18,15,17,18,19,16,18,18,18,17,19,18
04-Jul-2020 10:59:59,18,18,20,20,20,19,16,20,21,21,16,16,19,20,17,18,19,20,17,19,19,20,19,20,20
04-Jul-2020 11:59:59,18,18,21,21,22,21,17,21,24,23,17,17,22,21,18,19,21,22,18,21,21,21,21,22,22
04-Jul-2020 12:59:59,20,20,22,22,23,22,19,23,26,24,17,17,23,22,19,21,22,24,20,22,22,22,22,24,23
04-Jul-2020 13:59:59,20,20,23,23,23,23,20,25,27,25,17,17,24,24,20,23,23,25,21,24,24,23,23,25,24
04-Jul-2020 14:59:59,20,20,24,24,24,24,20,25,28,26,16,16,25,24,20,24,23,26,21,25,24,24,24,26,26
